KEY;KOD;Ülke;Yýl;GFCF (Yatýrým);FDI (Yabancý Yatýrým);CPI (Enflasyon);Unemployment (Ýþsizlik);Current_Account (Cari Denge);Exchange_Rate (Kur);Govt_Exp (Devlet Harcamasý);Pop_Growth (Nüfus Artýþý);Export_GDP (Ýhracat);GDP_Growth (TARGET - Tahmin edilecek sütun);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUT_1961;AUT;Austria;1961;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;26.000000025;EKSÝK VERÝ;0,548472356;EKSÝK VERÝ;5,537979317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BGD_1961;BGD;Bangladesh;1961;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;2,818718055;10,78235341;6,058160825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEL_1961;BEL;Belgium;1961;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;50.000000049;EKSÝK VERÝ;0,332205946;EKSÝK VERÝ;4,978423063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRA_1961;BRA;Brazil;1961;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;1.16843478826882E-13;EKSÝK VERÝ;3,017124021;6,420216755;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAN_1961;CAN;Canada;1961;9177082991;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;-2.69476650173113;1.01306251583333;EKSÝK VERÝ;1,999184557;17,58291908;3,163291684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHN_1961;CHN;China;1961;9506393847;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;2.46180889882528;EKSÝK VERÝ;-1,015527787;3,001477244;-27,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHL_1961;CHL;Chile;1961;740117142,9;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;0.00105013600777515;EKSÝK VERÝ;2,081036606;11,12951893;5,519610703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COL_1961;COL;Colombia;1961;873846522,4;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;6.7;EKSÝK VERÝ;3,085242939;12,9913517;5,089216984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EGY_1961;EGY;Egypt, Arab Rep.;1961;637487724,1;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;0.348241999348242;EKSÝK VERÝ;2,585292258;17,64630718;5,161114143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EST_1961;EST;Estonia;1961;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;1,11138977;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNK_1961;DNK;Denmark;1961;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;6.90714000590714;EKSÝK VERÝ;0,698142052;EKSÝK VERÝ;6,378832476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
